"","name","arms","campain","triplicat","plate_number","orientation","open_close","site_names","island","comb","orientation_type"
"4","RODARMS1_02U","RODARMS1A","RODARMS","RODARMS1","2","T","c","Rivière_Banane","Rodrigues","2Tc","T_c"
"5","RODARMS1_03D","RODARMS1A","RODARMS","RODARMS1","3","B","c","Rivière_Banane","Rodrigues","3Bc","B_c"
"6","RODARMS1_03U","RODARMS1A","RODARMS","RODARMS1","3","T","o","Rivière_Banane","Rodrigues","3To","T_o"
"7","RODARMS1_04D","RODARMS1A","RODARMS","RODARMS1","4","B","o","Rivière_Banane","Rodrigues","4Bo","B_o"
"8","RODARMS1_04U","RODARMS1A","RODARMS","RODARMS1","4","T","c","Rivière_Banane","Rodrigues","4Tc","T_c"
"9","RODARMS1_05D","RODARMS1A","RODARMS","RODARMS1","5","B","c","Rivière_Banane","Rodrigues","5Bc","B_c"
"10","RODARMS1_05U","RODARMS1A","RODARMS","RODARMS1","5","T","o","Rivière_Banane","Rodrigues","5To","T_o"
"11","RODARMS1_06D","RODARMS1A","RODARMS","RODARMS1","6","B","o","Rivière_Banane","Rodrigues","6Bo","B_o"
"12","RODARMS1_06U","RODARMS1A","RODARMS","RODARMS1","6","T","c","Rivière_Banane","Rodrigues","6Tc","T_c"
"13","RODARMS1_07D","RODARMS1A","RODARMS","RODARMS1","7","B","c","Rivière_Banane","Rodrigues","7Bc","B_c"
"14","RODARMS1_07U","RODARMS1A","RODARMS","RODARMS1","7","T","o","Rivière_Banane","Rodrigues","7To","T_o"
"15","RODARMS1_08D","RODARMS1A","RODARMS","RODARMS1","8","B","o","Rivière_Banane","Rodrigues","8Bo","B_o"
"16","RODARMS1_08U","RODARMS1A","RODARMS","RODARMS1","8","T","c","Rivière_Banane","Rodrigues","8Tc","T_c"
"17","RODARMS1_09D","RODARMS1A","RODARMS","RODARMS1","9","B","c","Rivière_Banane","Rodrigues","9Bc","B_c"
"18","RODARMS1_09U","RODARMS1A","RODARMS","RODARMS1","9","T","o","Rivière_Banane","Rodrigues","9To","T_o"
"19","RODARMS1_10D","RODARMS1A","RODARMS","RODARMS1","10","B","o","Rivière_Banane","Rodrigues","10Bo","B_o"
"23","RODARMS2_02U","RODARMS1B","RODARMS","RODARMS1","2","T","c","Rivière_Banane","Rodrigues","2Tc","T_c"
"24","RODARMS2_03D","RODARMS1B","RODARMS","RODARMS1","3","B","c","Rivière_Banane","Rodrigues","3Bc","B_c"
"25","RODARMS2_03U","RODARMS1B","RODARMS","RODARMS1","3","T","o","Rivière_Banane","Rodrigues","3To","T_o"
"26","RODARMS2_04D","RODARMS1B","RODARMS","RODARMS1","4","B","o","Rivière_Banane","Rodrigues","4Bo","B_o"
"27","RODARMS2_04U","RODARMS1B","RODARMS","RODARMS1","4","T","c","Rivière_Banane","Rodrigues","4Tc","T_c"
"28","RODARMS2_05D","RODARMS1B","RODARMS","RODARMS1","5","B","c","Rivière_Banane","Rodrigues","5Bc","B_c"
