"","Bivalvia","Biv_P50","For_Miniacina_sp_red","Calcareous_worm_tubes","Other_foraminifera","Cni_Plumulariidae","MSP10_SPON","MSP11_SPON","MSP12_SPON","MSP14_SPON","MSP15_SPON","MSP16_SPON","MSP18_SPON","MSP19_SPON","MSP1_HYD","MSP1_SPON","MSP20_SPON","MSP21_SPON","MSP22_SPON","MSP23_SPON","MSP24_SPON","MSP25_SPON","MSP26_SPON","MSP27_SPON","MSP28_SPON","MSP29_SPON","MSP2_SPON","MSP30_SPON","MSP31_SPON","MSP33_SPON","MSP34_SPON","MSP35_SPON","MSP36_SPON","MSP37_SPON","MSP38_SPON","MSP39_SPON2","MSP3_SPON","MSP41_SPON","MSP42_SPON","MSP43_SPON","MSP44_SPON","MSP45_SPON","MSP46_SPON","MSP47_SPON","MSP48_SPON","MSP49_SPON","MSP4_SPON","MSP50_SPON","MSP51_SPON","MSP52_SPON","MSP53_SPON","MSP54_SPON","MSP55_SPON","MSP56_SPON","MSP57_SPON","MSP58_SPON","MSP59_SPON","MSP5_SPON","MSP60_SPON","MSP7_SPON","MSP8_SPON","MSP9_SPON","Pina","Cirripedia","Soft_worm_tubes","X_SPON","For_Miniacina_sp_adu","Bry_Parasmittina_margaritata","MSP12_BRYO","MSP13_BRYO","MSP14_BRYO","Bry_Schizomavella_sp","Bry_Smittoidea_cautela","MSP19_BRY2","MSP20_BRYO","MSP21_BRYO","MSP22_BRYO","MSP23_BRYO","MSP24_BRYO","MSP25_BRYO","MSP26_BRY","MSP27_BRY","MSP28_BRY","MSP29_BRY","Bry_Watersipora_subtorquata","Bry_Smittipora_harmeriana","Bry_Disporella_novaehollandiae","MSP5_BRYO","Bry_Crisia_elongata","Bry_Tubulipora_sp","Bry_Scrupocellaria_sp","For_Miniacina_sp_juv","BIOFR","BIOFV","CYANOB","Ascc_Lissoclinum_sp1","Ascc_Ascidia_archaia","Ascc_Didemnidae_sp1","Ascc_Lissoclinum_sp2","Ascc_Cystodystes_sp","MSP12_ASCS","MSP13_ASCC","Ascc_Polysyncraton_milleporae","Ascc_Botryllus_sp1","MSP14_ASCS","MSP15_ASCC","MSP15_ASCS","Ascc_Botryllus_gregalis","MSP16_ASCS","MSP17_ASCC","Ascc_Botryllus_sp2","Ascc_Aplidium_sp","Ascs_Polycarpa_sp","Ascc_Trididemnum_sp","Ascc_Botryllus_sp3","Ascc_Botryllus_tuberatus","Ascc_Botryllus_sp6","MSP26_ASCC","MSP27_ASCC","MSP28_ASCC","MSP29_ASCC","Ascc_Eusynstyela_hartmeyeri","MSP2_ASCS","MSP30_ASCC","MSP32_ASCC","MSP33_ASCC","MSP34_ASCC","MSP35_ASCC","MSP36_ASCC","Ascc_Polysyncraton_sp1","Ascc_Symplegma_sp1","Ascc_Polyclinum_sp1","Ascc_Botryllus_sp4","Ascc_Styela_canopus","Ascc_Botrylloides_sp1","MSP41_ASCC","Ascc_Didemnidae_sp4","MSP43_ASCC","Ascc_Symplegma_sp2","Ascc_Botryllus_sp7","Ascc_Didemnidae_sp2","Ascc_Ascidia_sydneiensis","Ascc_Botryllus_sp5","MSP5_ASCS","Ascc_Polysyncraton_rostrum","MSP6_ASCS","MSP7_ASCC","Ascc_Didemnidae_sp3","Ascc_Ascidia_fictile","MSP9_ASCC","MSP9_ASCS","No_Recruitment","Sediments","Encrusting_Phaeophyceae_algae","Erect_Phaeophyceae_algae","CCA","Encrusting_Chlorophyta_algae","Erect_Chlorophyta_algae","Erect_Rhodophyta_algae"
"P50ARMS1A",3.35909240248279,18.1360146328061,0.316944959802103,20.462716955899,0,2.12971282593376,0.145348837209302,0,1.60778739687364,0,2.78062834982478,0,0,0,0,0.515518707482993,0.89030612244898,0,0,0,0,0,0,0.127551020408163,0,0,0,0,0,0,0,0,0,0,0,1.02040816326531,0.552389614889615,0.255102040816327,0,0,0,0,0,0,0,0,0.337837837837838,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00516981657749,0.125,0,0,0.260416666666667,0.127551020408163,0,0,0,0,0,0,0,0.223214285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168918918918919,0.540159245516388,0,0,0,0,0,0.223214285714286,0,0,0,0,0,0,0,0,0,0,0.145348837209302,0,0,0,0,0,0,0,0,0,0.132978723404255,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01961336336336,0,0,0,28.6860766821006,5.70966174475311,0,0,8.68281654167244,0,0,0
"P50ARMS1B",3.04348872096782,14.2561807372257,0,27.17520372001,0,0,0.38796768707483,0,1.26266891891892,0,0.127551020408163,0,0,0,0,0,0.38531037414966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257759353741497,0.885702838827839,0.168918918918919,0.272899857617466,0.398936170212766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745223621363439,0,0,0,0.596301020408163,0,0,0,0,0,0,0,0,0.378787878787879,0.231481481481481,0,0,0,0,0,0,0,0,0,0,0,0,0.45535138620245,0.361689814814815,0,0,0,0.345643939393939,1.11356161796958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132978723404255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51858017129806,0,0,0,0.652105593966059,0,0,3.01067231506326,0,0,0,25.0340327337548,6.79370472802274,0,0,10.0072966559954,0,0,0
"P50ARMS1C",3.92173488874255,21.7042752351766,0.960153875379939,17.4048377878922,0,0.499188311688312,0.168918918918919,0,0.31444099378882,0,1.66148810568453,0,0,0,0,0.440340909090909,0.724410948468194,0,0,0,0,0,0,0.132978723404255,0,0,0,0,0,0,0,0,0,0,0.15625,0.667784458834413,1.02367935810688,0,0.183823529411765,0,0,0,0,0,0,0,0.127551020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.873552123552124,0,0,0,0.62694099378882,0,0,0,0,0.132978723404255,0,0,0.347490347490347,0.357142857142857,0.265957446808511,0.357142857142857,0.183823529411765,0,0,0,0,0,0,0,0,0,0,0.427989130434783,0.768628918958888,0.125,0,0,0,2.67431944526402,0.178571428571429,0,0,0,0,0,0,0.178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183823529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127551020408163,0,0,0,0,0,0,0.504440412528648,0,0,0,27.0329138849758,3.26174197997886,0,0,11.2995628771582,0,0,0
"P50ARMS2A",1.12087470123184,0,4.55433539506666,8.8750048459243,0,2.50502050037654,0,0,0.764033750534874,0,1.97789115646258,0,0,0,0.396286231884058,0,2.96383717960869,0,0,0,0,1.13010204081633,0,0,0.255102040816327,17.1911287254799,0,0,0,0.164473684210526,0,0,0,0,0,0,0.732907014157014,0,0.38796768707483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168918918918919,0,0,0,0.164473684210526,0,0,0,0,0.435086382113821,0.385869565217391,0,0.127551020408163,0.716880018179064,0.985402644620945,0,0,1.22924985211476,0.271739130434783,0.127551020408163,0,0,0,0,0,0,0,4.20546805678793,2.34945057130683,0.135869565217391,0,0,0.164473684210526,3.49881954372417,1.40590420912319,0,0,0.450310559006211,0,0,0.127551020408163,0.260416666666667,0.328947368421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466880018179064,0.714285714285714,0.357142857142857,0,0,0.178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72463937192056,0,0,0,0.509581881533101,0,0,3.9318350959014,0,0,0,19.354429276151,2.46039369695246,0,0,7.74334222421925,0,0,0
"P50ARMS2B",0.183823529411765,0,4.36015992935636,9.73154007440519,0,0.499084249084249,0.168918918918919,0,0,0,0.436046511627907,0,0,0,0,0,1.58781822261014,0,0,0.127551020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451471286188894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127551020408163,0,0,0,0,0,0,0,0.127551020408163,0.38265306122449,1.82291666666667,0,0,0.16025641025641,5.10457204136715,0,0,0.260416666666667,0.145348837209302,0,0,0,0,0,0.145348837209302,0,0,14.646581619712,3.96572564104858,1.54389880952381,0,0.127551020408163,0.484986504723347,3.49997475175063,0.178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.75716405893132,0,0,1.28676470588235,0,0.400450878025629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50569657136069,0,0,0,3.25891621183357,0,0,0.29202470461869,0,0,0,18.5090610730522,0,0,0,13.7196037171297,0,0,0
"P50ARMS2C",0.808640763997907,0,6.72933850629072,6.02143657813403,0,0.760297778154921,0.130208333333333,0,0,0,3.48493389608387,0,0,0,0,0,7.15931793311369,0,0,0,0,1.32147606382979,0,0.78125,0,10.4346679680612,0,0,0,0,0,0,0,0,0,0,0.556542642140468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464816933638444,0,0,0,0,0.132978723404255,0,0,0,0.441172706797707,0.164473684210526,0,0,0.130208333333333,0,0,0.125,0.16025641025641,0.535159716060337,0,0.130208333333333,0,0,4.20276123333189,2.70386986277596,0.127551020408163,0,0,0.306519138755981,1.1041226157438,2.78629641352856,0,0,0.130208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334821428571429,0.260416666666667,0,0.127551020408163,3.78055820990604,0,1.88584965758879,0.407608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79412096017091,0,0,0,1.18675595238095,0,0,1.45861950549451,0,0,0,26.1376852469979,0.776041666666667,0,0,9.01625706744388,0,0,0
"P50ARMS3A",1.12167412534552,24.1091986481533,1.22160953220057,6.10166191645978,0,0.289473684210526,0.125,0,0.132978723404255,0,3.31233616866812,0,0,0,0,0.130208333333333,2.50834509335649,0,0,0,0,0,0,0.523936170212766,0,0.277439024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393395390070922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46993371212121,0,0,0,0,0,0,0,0,0.16025641025641,0,0,0,0,0,0,0,0,0.380208333333333,0,0,0,0.517399267399267,0.849357582640257,2.21718524508151,0,0,0.125,0,0,0.130208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306122448979592,0,0,0,0,0,0.127551020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09771337684872,0,0,0,0,0,0,1.12539891968933,0,0,0,32.89586436202,8.66997818227871,0,0,8.68056599580431,0,0,0
"P50ARMS3B",1.3986441866856,13.4907832500066,0.659465914025185,14.5488474006292,0,0,1.03115049211174,0.25,0.987266279819471,0.943613124464188,3.45190449559751,0,0.130208333333333,0,0,0.15625,3.01251158417762,0,0,0,0.15625,0,0,1.10413396127682,0,0,0,0,0,0,0,0,0,0,0,0,1.38792875186302,0.481418918918919,0,0,0,0.716371987624837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93087715855573,0,0,0,0.308779761904762,0,0,0,0,0,0,0,0,0.38796768707483,0,0,0,0,0,0,0,0,0.325168918918919,0,0,0,0,0.25,1.44593790359843,0,0,0,0,0.432105975656508,0.489945978391357,0,0,0,0,0,0,0,0.699300699300699,0,0,0,0,0,0,0,0,0,0,0,0.32051282051282,0,0,0,0,0,0,0.325168918918919,0,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40952053898482,0,0,0,0,0,0,0.293235133660666,0,0,0,30.8150425176661,12.8845963030812,0,0,4.61884100324031,0,0,0
"P50ARMS3C",1.73835607316867,9.9565033728251,0.983220316741779,13.0505786087258,0,0.130208333333333,0.714824926670857,0,0.42367639782286,0,3.59622043357442,0,0,0,0,0.145348837209302,5.24773851260552,0,0,0,0.130208333333333,0,0,1.0186887254902,0.3125,0,0.301897642323174,0,0,0,0,0,0,0,0,0.16025641025641,1.04827235772358,0,0.301897642323174,0,0,1.17146993932708,0.265957446808511,0.603795284646348,0.130208333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533535893946891,0,0,0,1.77739266547406,0,0,0,0,0,0,0,0,0.429149857617466,0,0,0,0,0,0,0.265957446808511,0,0,0,0,0,0,1.11931399212934,0.554229293068579,0,0,0,0,0.152439024390244,0.529144503546099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720816561242093,0,0.3125,0,0,0.132978723404255,0.130208333333333,0.290697674418605,0,0,0,0,0,0,0,0,0,0,0,0.916295284646348,0,0,0,0,0,0,0,0,0,0,36.3644097800284,11.3707215581824,0,0,2.96838147952055,0,0,0
"RODARMS1A",0.707880245277223,0,5.03494030327128,9.10000740851204,0.559910414333707,0.611995104039168,0,0,0.266780844476648,0,0,0,0,0,0,0,0.219298245614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138504155124654,0,0,0,0,0,0,0.122399020807834,0,0,0,0,0,0,0,0.293302916734561,0,0.546913843312735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83403298546045,0.154798761609907,0,0.367197062423501,0,0,0,0,0,0,0,0.169779286926995,0,0,0,0,0,0,0,0,0.67911714770798,0,0.718322495301337,0.629249165334785,3.25561171643837,0.448101678344468,0,0,3.47355343266412,3.88273688630537,1.8453047000484,0.221631205673759,0,0,0,0,0.244798041615667,0,0.138504155124654,0,0,0.494357335463897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138504155124654,0,0,0,0,0,0,0,0.134952766531714,0,0,0,0,0,0,0,0.464396284829721,0,0.134952766531714,0.122399020807834,0,0,0.122399020807834,0,0,0.570500699152302,23.1320975187461,9.10563378685321,0,0,25.5791891740671,0,0,0.335946248600224
